Key,Id,Korean(ko),English(en),Chinese (Simplified)(zh),Chinese (Traditional)(zh-TW),Japanese(ja),,,,,,
104007,,이동속도 {0}% 증가,Incr. Movement Speed {0}%,移动速度增加{0}%,移動速度提升{0}%,移動速度{0}%増加,,,,,,
104008,,공격속도 {0}% 증가,Incr. Attack Speed {0}%,攻击速度增加{0}%,攻擊速度提升{0}%,攻撃速度{0}%増加,,,,,,
104009,,스테이지 강화석 획득량 {0}% 증가,Incr. Upgrade stone in Stage {0}%,关卡强化石获得量增加{0}%,關卡強化石獲得量提升{0}%,ステージ強化石の獲得量{0}%増加,,,,,,
104010,,암시장 코인 던전 보상 {0}% 증가,Incr. {0}% BlackMarket Coin in Dungeon ,增加{0}%黑市金币地牢,提升{0}%黑市金幣地牢,闇市場コインダンジョン報酬{0}%増加,,,,,,
104011,,스킬 강화석 던전 보상 {0}% 증가,Incr. Skill Stone in Dungeon {0}%,技能强化石副本奖励增加{0}%,技能強化石副本獎勵提升{0}%,スキル強化石ダンジョンの報酬{0}%増加,,,,,,
104012,,다이아 던전 보상 {0}% 증가,Incr. {0}% Dia in Dungeon ,增加{0}%钻石地牢奖励,提升{0}%鑽石地牢獎勵,ダイヤダンジョン報酬{0}%増加,,,,,,
104015,,각성석 던전 보상 {0}% 증가,Incr. Awaken Stone in Dungeon {0}%,觉醒石副本奖励增加{0}%,覺醒石副本獎勵提升{0}%,覚醒石ダンジョンの報酬{0}%増加,,,,,,
104016,,보스에게 주는 피해 {0}% 증가,Incr. Boss Damage {0}%,对BOSS造成的伤害增加{0}%,對Boss造成的傷害提升{0}%,ボスに与えるダメージ{0}%増加,,,,,,
104017,,{0} 피해량 {1}% 증가,Incr. {0} Damage {1}%,{0}伤害量增加{1}%,{0}傷害量提升{1}%,{0}ダメージ量{1}%増加,,,,,,
104018,,스킬 피해량 {0}% 증가,Incr. Skill Damage {0}%,技能伤害量增加{0}%,技能傷害量提升{0}%,スキルダメージ量{0}%増加,,,,,,
104019,,대시 피해량 {0}% 증가,Incr. Dash Damage {0}%,冲刺伤害量增加{0}%,猛衝傷害量提升{0}%,ダッシュダメージ量{0}%増加,,,,,,
104020,,최종 공격력 {0}% 증가,Incr. Final ATK {0}%,最终攻击力增加{0}%,最終攻擊力提升{0}%,最終攻撃力{0}%増加,,,,,,
104021,,최종 체력 {0}% 증가,Incr. Final HP {0}%,最终体力增加{0}%,最終體力提升{0}%,最終体力{0}%増加,,,,,,
104022,,각성 공격력 {0}% 증가,Incr. Awaken ATK {0}%,觉醒攻击力增加{0}%,覺醒攻擊力提升{0}%,覚醒攻撃力{0}%増加,,,,,,
104023,,각성 체력 {0}% 증가,Incr. Awaken HP {0}%,觉醒体力增加{0}%,覺醒體力提升{0}%,覚醒体力{0}%増加,,,,,,
104024,,펫 공격력 {0}% 증가,Incr. Pet ATK {0}%,宠物攻击力增加{0}%,寵物攻擊力提升{0}%,ペット攻撃力{0}%増加,,,,,,
104025,,펫 체력 {0}% 증가,Incr. Pet HP {0}%,宠物体力增加{0}%,寵物體力提升{0}%,ペット体力{0}%増加,,,,,,
104026,,아이템 드랍 확률 {0}% 증가,Incr. Item Drop Rate {0}%,道具掉落率增加{0}%,道具掉落機率提升{0}%,アイテムドロップ率{0}%増加,,,,,,
104027,,몬스터 체력 {0}% 감소,DCR. Monster HP {0}%,怪物体力减少{0}%,怪物體力降低{0}%,モンスター体力{0}%減少,,,,,,
104028,,몬스터 공격력 {0}% 감소,DCR. Monster ATK {0}%,怪物攻击力减少{0}%,怪物攻擊力降低{0}%,モンスター攻撃力{0}%減少,,,,,,
104029,,공격력 {0}% 증가,Incr. ATK {0}%,攻击力增加{0}%,攻擊力提升{0}%,攻撃力{0}%増加,,,,,,
104030,,체력 {0}% 증가,Incr. HP {0}%,体力增加{0}%,體力提升{0}%,体力{0}%増加,,,,,,
104031,,초당 최대 체력의 {0}%회복,Recovers {0}% of maximum HP every 1 sec,每1秒恢复体力{0}%,每1秒體力恢復{0}%,1秒ごとに{0}%の体力を回復,,,,,,
104032,,공격력 {0}% 증폭,ATK Amplified by {0}%,攻击力增加{0}%,攻擊力增加{0}%,攻撃力{0}%増幅,,,,,,
104033,,잠재 공격력 {0}% 증가,Incr. Potential ATK {0}%,潜在攻击力增加{0}%,潛在攻擊力提升{0}%,潜在攻撃力{0}％増加,,,,,,
104034,,잠재 체력 {0}% 증가,Incr. Potential HP {0}%,潜在体力增加{0}%,潛在體力提升{0}%,潜在体力{0}％増加,,,,,,
104035,,잠재 골드 획득량 {0}% 증가,Incr. Potential Gold Gain {0}%,潜在金币获得量增加{0}%,潛在金幣獲得量提升{0}%,潜在ゴールド獲得量{0}％増加,,,,,,
104036,,잠재 경험치 획득량 {0}% 증가,Incr. Potential EXP Gain {0}%,潜在经验值获得量增加{0}%,潛在經驗值獲得量提升{0}%,潜在経験値獲得量{0}％増加,,,,,,
104037,,유물 공격력 {0}% 증가,Incr. Relic ATK {0}%,增加遗物攻击力{0}%,增加遺物攻擊力{0}%,遺物攻撃力{0}%増加,,,,,,
104038,,유물 체력 {0}% 증가,Incr. Relic HP {0}%,增加遗物体力{0}%,增加遺物體力{0}%,遺物攻撃力{0}%増加,,,,,,
104039,,보석 공격력 {0}% 증가,Incr. Jewel Attack {0}%,增加宝石攻击力{0}%,增加寶石攻擊力{0}%,宝石攻撃力{0}%増加,,,,,,
104040,,보석 체력 {0}% 증가,Incr. Jewel HP {0}%,增加宝石体力{0}%,增加寶石體力{0}%,宝石体力{0}%増加,,,,,,
104041,,기본 공격 피해량 {0}% 증가,Incr. Normal Attack damage {0}%,增加普通攻击伤害{0}%,增加普通攻擊傷害{0}%,通常攻撃ダメージ{0}%増加,,,,,,
105000,,슬라임 영혼 폭주,Slime Soul Frenzy,史莱姆灵魂暴走,史萊姆靈魂狂暴,スライム魂の暴走,,,,,,
105001,,소울 디토네이터',“Soul Detonator”,灵魂引爆者,靈魂引爆者,ソウルデトネーター',,,,,,
105002,,버섯 몬스터 수프,Mushroom Monster Soup,蘑菇怪物汤,蘑菇怪濃湯,きのこモンスターのスープ,,,,,,
105003,,붕대를 감은 거미,Bandaged Spider,缠着绷带的蜘蛛,纏著繃帶的蜘蛛,包帯を巻いたクモ,,,,,,
105004,,귀여운 영혼 '무우',Cute Soul “Moo”,可爱灵魂“萝卜”,可愛的靈魂-蘿蔔,可愛い魂「ダイコン」,,,,,,
105005,,광산 속 소울 디토네이터,Soul Detonator in the Mine,矿山里的灵魂引爆者,礦坑裡的靈魂引爆者,鉱山の中のソウルデトネーター,,,,,,
105006,,영혼 폭주의 동시 발생,Outbreaks of Soul Frenzy,灵魂暴走的同时发生,靈魂狂暴的同時發生,魂暴走の同時発生,,,,,,
105007,,백토의 지원 요청,Support Request from Vector,维克托的支援请求,維克托的支援請求,ベクトルの支援要請,,,,,,
105008,,더욱 강력해진 영혼들,Strengthened Souls,越来越强的灵魂们,變得更強大的靈魂們,もっと強くなった魂たち,,,,,,
105009,,돼지들의 왕,King of Pigs,猪王,豬豬王,豚の王,,,,,,
106000,,시련 1,Trial 1,试验1,試驗1,試練1,,,,,,
106001,,시련 2,Trial 2,试验2,試驗2,試練2,,,,,,
106002,,시련 3,Trial 3,试验3,試驗3,試練3,,,,,,
106003,,시련 4,Trial 4,试验4,試驗4,試練4,,,,,,
106004,,시련 5,Trial 5,试验5,試驗5,試練5,,,,,,
106005,,시련 6,Trial 6,试验6,試驗6,試練6,,,,,,
106006,,시련 7,Trial 7,试验7,試驗7,試練7,,,,,,
106007,,시련 8,Trial 8,试验8,試驗8,試練8,,,,,,
106008,,시련 9,Trial 9,试验9,試驗9,試練9,,,,,,
107001,,노란바람개비,Yellow Pinwheel,黄色风车,黃色風車,黄色の風車,,,,,,
107002,,다색바람개비,Multicolored Pinwheel,多彩多姿的风车,多彩多姿的風車,多色風車,,,,,,
108001,,골드량 증가 {0}%,Incr. Gold {0}%,金币量增加{0}%,金幣量提升{0}%,ゴールド量の増加{0}%,,,,,,
108002,,강화석량 증가 {0}%,Incr. Upgrade Stone {0}%,强化石量增加{0}%,強化石量提升{0}%,強化石量の増加{0}%,,,,,,
109000,,시련,Trial,试验,試驗,試練,,,,,,
109001,,각성석 던전,Awaken Stone Dugn.,觉醒石副本,覺醒石副本,覚醒石ダンジョン,,,,,,
109002,,스킬강화석 던전,Skill Stone Dugn.,技能强化石副本,技能強化石副本,スキル強化石ダンジョン,,,,,,
109003,,펫 던전,Pet Dugn.,宠物副本,寵物副本,ペットダンジョン,,,,,,
109004,,암시장코인 던전,BlackMarket Coin Dugn.,黑市金币地牢,增加黑市金幣地牢,闇市場コインダンジョン報酬増加,,,,,,
109005,,다이아 던전,Diamond Dugn.,钻石地牢,鑽石地牢,ダイヤダンジョン,,,,,,
109006,,수련장,Training Ground,训练场,訓練場,修練場,,,,,,
110000,,레벨 패스 1,Level Pass 1,等级通行证1,等級通行證1,レベルパス1,,,,,,
110001,,레벨 패스 2,Level Pass 2,等级通行证2,等級通行證2,レベルパス2,,,,,,
110002,,레벨 패스 3,Level Pass 3,等级通行证3,等級通行證3,レベルパス3,,,,,,
110003,,스테이지 패스 1,Stage Pass 1,关卡通行证1,關卡通行證1,ステージパス1,,,,,,
110004,,스테이지 패스 2,Stage Pass 2,关卡通行证2,關卡通行證2,ステージパス2,,,,,,
110005,,스테이지 패스 3,Stage Pass 3,关卡通行证3,關卡通行證3,ステージパス3,,,,,,
110006,,모험 패스,Adventure Pass,冒险通行证,冒險通行證,アドベンチャーパス,,,,,,
110007,,레벨 패스 4,Level Pass 4,等级通行证4,等級通行證4,レベルパス4,,,,,,
110008,,레벨 패스 5,Level Pass 5,等级通行证5,等級通行證5,レベルパス5,,,,,,
110009,,스테이지 패스 4,Stage Pass 4,关卡通行证4,關卡通行證4,ステージパス4,,,,,,
110010,,스테이지 패스 5,Stage Pass 5,关卡通行证5,關卡通行證5,ステージパス5,,,,,,
110011,,버섯용사 패스1,AfterLife Pass1,After Life通行证1,After Life通行證1,アフターライフパス1,,,,,,
110012,,암시장 코인,BlackMarket Coin,黑市金币,黑市金幣,闇市場コイン,,,,,,
111000,,일일 퀘스트 완료,Complete Daily Quest,完成每日任务,完成每日任務,デイリークエスト完了,,,,,,
111001,,출석,Login,签到,簽到,ログインチェック,,,,,,
111002,,몬스터 처치,Hunt monster,击杀怪物,消滅怪物,モンスター撃破,,,,,,
111003,,접속 시간,Login Time,上线时长,上線時間,アクセス時間,,,,,,
111004,,무기 소환,Summon Weapons,召唤武器,召喚武器,武器召喚,,,,,,
111005,,반지 소환,Summon rings,召唤戒指,召喚戒指,指輪召喚,,,,,,
111006,,던전 입장,Enter Dugn.,进入副本,進入副本,ダンジョン入場,,,,,,
111007,,광고 시청,Watch Ad,观看广告,觀賞廣告,広告視聴,,,,,,
111008,,주간퀘스트 완료,Complete Weekly Quest,完成每周任务,完成每週任務,ウィークリークエスト完了,,,,,,
111009,,보스 처치,Defeat Boss,击杀BOSS,消滅Boss,ボス撃破,,,,,,
111010,,봉인된 꽃 봉인 해제,Remove the seal on the Sealed Flower.,解除被封印的花,解除封印花上的封印,封印された花の封印を解除,,,,,,
111011,,누적 출석,Total Login,累计签到,累計簽到,累積ログインチェック,,,,,,
111012,,스탯 업그레이드,Status upgrade,能力值升级,能力值升級,ステータスのアップグレード,,,,,,
111013,,레벨 업,Level Up,升级,等級升級,レベルアップ,,,,,,
111014,,잠재 변경,Change Potential,更改潜在,變更潛在,潜在変更,,,,,,
111015,,유물 소환,Summon Relics,召唤圣物,召喚聖物,遺物召喚,,,,,,
111016,,몬스터 처치,Defeat Monster,击杀怪物,消滅怪物,モンスター撃破,,,,,,
111017,,공격력 상승,Reach Attack level,攻击力提升,提升攻擊力,攻撃力上昇,,,,,,
111018,,체력 상승,Reach HP level,体力提升,提升體力,体力上昇,,,,,,
111019,,스킬 소환,Summon Skill,召唤技能,召喚技能,スキル召喚,,,,,,
111020,,첫번째 스킬 장착,Equip First Skill,佩戴第一个技能,配置第一個技能,1番目のスキル装着,,,,,,
111021,,스테이지 완료,Complete Stage,完成关卡,完成關卡,ステージ完了,,,,,,
111022,,레벨 달성,Level Achieved,达成等级,達成等級,レベル達成,,,,,,
111023,,치명타 확률 상승,Incr. Critical Rate,暴击率提升,提升暴擊率,会心率上昇,,,,,,
111024,,치명타 데미지 상승,Incr. Critical Damage,暴击伤害提升,提升暴擊傷害,会心ダメージ上昇,,,,,,
111025,,무기 소환,Summon Weapon,召唤武器,召喚武器,武器召喚,,,,,,
111026,,무기 장착,Equip Weapon,佩戴武器,穿戴武器,武器装着,,,,,,
111027,,무기 합성,Combine Weapon,合成武器,合成武器,武器合成,,,,,,
111028,,무기 강화,Upgrade Weapon,强化武器,強化武器,武器強化,,,,,,
111029,,반지 소환,Summon Ring,召唤戒指,召喚戒指,指輪召喚,,,,,,
111030,,반지 장착,Equip Ring,佩戴戒指,穿戴戒指,指輪装着,,,,,,
111031,,반지 합성,Combine Ring,合成戒指,合成戒指,指輪合成,,,,,,
111032,,반지 강화,Upgrade Ring,强化戒指,強化戒指,指輪強化,,,,,,
111033,,각성석 던전 완료,Complete Awaken Stone Dugn.,完成觉醒石副本,完成覺醒石副本,覚醒石ダンジョン完了,,,,,,
111034,,무기 각성,Awaken Weapon,觉醒武器,覺醒武器,武器覚醒,,,,,,
111035,,반지 각성,Awaken Ring,觉醒戒指,覺醒戒指,指輪覚醒,,,,,,
111036,,스킬 강화석 던전 완료,Complete Skill Stone Dugn.,完成技能强化石副本,完成技能強化石副本,スキル強化石ダンジョン完了,,,,,,
111037,,스킬 강화,Upgrade Skill,强化技能,強化技能,スキル強化,,,,,,
111038,,스킬 각성,Awaken Skill,觉醒技能,覺醒技能,スキル覚醒,,,,,,
111039,,던전 완료,Complete Dugn.,完成副本,完成副本,ダンジョン完了,,,,,,
111040,,버프 받기,Get Buff,领取增益,取得增益效果,バフを受ける,,,,,,
111041,,레벨 포인트 사용,Use Level Points,使用等级点数,使用等級點數,レベルポイントの使用,,,,,,
111042,,시련 완료,Complete Trial,完成试验工试验,完成試驗工試驗,試練完了,,,,,,
111043,,시련 완료,Complete Trial,完成试验工试验,完成試驗工試驗,試練完了,,,,,,
111044,,펫 장착,Equip Pet,佩戴宠物,配置寵物,ペット装着,,,,,,
111045,,펫 던전 완료,Complete Pet Dugn.,完成宠物副本,完成寵物副本,ペットダンジョンの完了,,,,,,
111046,,꽃 봉인 해제,Unlock Flower Seal,解除花的封印,解除花封印,花の封印を解除,,,,,,
111047,,펫의 꽃 강화,Upgrade Flower of Pet,强化宠物之花,強化寵物之花,ペットの花の強化,,,,,,
111048,,펫 강화,Upgrade Pet,强化宠物,強化寵物,ペット強化,,,,,,
111049,,펫 각성,Awaken Pet,觉醒宠物,覺醒寵物,ペット覚醒,,,,,,
111050,,스킬 사용,Use Skill,使用技能,使用技能,スキル使用,,,,,,
111051,,자동 스킬 사용,Use Auto Skill,使用自动技能,使用自動技能,自動スキル使用,,,,,,
111052,,추천 무기 장착,Equip Suggested Weapon,佩戴推荐武器,穿戴推薦武器,おすすめ武器装着,,,,,,
111053,,추천 반지 장착,Equip Suggested Ring,佩戴推荐戒指,穿戴推薦戒指,おすすめ指輪装着,,,,,,
111054,,두번째 스킬 장착,Equip Second Skill,佩戴第二个技能,配置第二個技能,2番目のスキル装着,,,,,,
111055,,무기 강화,Upgrade Weapon,强化武器,強化武器,武器強化,,,,,,
111056,,반지 강화,Upgrade Ring,强化戒指,強化戒指,指輪強化,,,,,,
111057,,보석 소환,Summon Jewel,召唤宝石,召喚寶石,宝石召喚,,,,,,
111058,,신규 용사 미션 완료,New Hero's Mission Completed,新英雄任务完成,新英雄任務完成,新しいヒーローのミッションが完了しました,,,,,,
111059,,훈련장 완료,Training ground completed,训练场竣工,訓練場完工,練習場完成,,,,,,
111060,,잠재석 획득량 달성,Obtain Potential Stone,获得潜力石,獲得潛力石,潜在石入手,,,,,,
111061,,암시장 던전 완료,Black Market Dungeon Completed,黑市地下城已完成,黑市地下城已完成,ブラックマーケットダンジョンクリア,,,,,,
111062,,유물 강화,Relic Upgrade,遗物升级,遺物升級,レリックのアップグレード,,,,,,
112000,,광고 제거 패키지,Ad Removal Package,去除广告礼包,去除廣告禮包,広告削除パッケージ,,,,,,
112001,,다이아상자1,Diamond Box 1,钻石宝箱1,鑽石箱1,ダイヤボックス1,,,,,,
112002,,다이아상자2,Diamond Box 2,钻石宝箱2,鑽石箱2,ダイヤボックス2,,,,,,
112003,,다이아상자3,Diamond Box 3,钻石宝箱3,鑽石箱3,ダイヤボックス3,,,,,,
112004,,다이아상자4,Diamond Box 4,钻石宝箱4,鑽石箱4,ダイヤボックス4,,,,,,
112005,,다이아상자5,Diamond Box 5,钻石宝箱5,鑽石箱5,ダイヤボックス5,,,,,,
112006,,던전 티켓 패키지,Dugn. Ticket Package,副本入场券礼包,副本入場券禮包,ダンジョン入場券パッケージ,,,,,,
112007,,주간 각성석 던전 티켓,Weekly Awaken Stone Dugn. Ticket,每周觉醒石礼包,每週覺醒石禮包,週間覚醒石パッケージ,,,,,,
112008,,주간 스킬 강화석 던전 티켓,Weekly Skill Stone Dugn. Ticket,每周技能强化石礼包,每週技能強化石禮包,週間スキル強化石パッケージ,,,,,,
112009,,주간 펫 던전 티켓,Weekly Pet Dugn. Ticket,每周宠物副本入场券,每週寵物副本入場券,週間ペットダンジョン入場券,,,,,,
112010,,주간 암시장 코인 던전 티켓,Weekly Blackmacket Coin Dugn. Ticket,每周黑市金币地牢入场券,每週黑市金幣地牢入場券,週間闇市場コインダンジョン入場券,,,,,,
112011,,월간 각성석 던전 티켓,Monthly Awaken Stone Dugn. Ticket,每月觉醒石礼包,每月覺醒石禮包,月間覚醒石パッケージ,,,,,,
112012,,월간 스킬 강화석 던전 티켓,Monthly Skill Stone Dugn. Ticket,每月技能强化石礼包,每月技能強化石禮包,月間スキル強化石パッケージ,,,,,,
112013,,월간 펫 던전 티켓,Monthly Pet Dugn. Ticket,每月宠物副本入场券,每月寵物副本入場券,月間ペットダンジョン入場券,,,,,,
112014,,월간 암시장 코인 던전 티켓,Monthly Blackmacket Coin Dugn. Ticket,每月黑市金币地牢入场券,每月黑市金幣地牢入場券,月間闇市場コインダンジョン入場券,,,,,,
112015,,한정 찬스 패키지 1,Limited Chance Package 1,有限机会套餐1,機會有限套餐1,限定チャンスパッケージ 1,,,,,,
112016,,한정 찬스 패키지 2,Limited Chance Package 2,有限机会套餐2,機會有限套餐2,限定チャンスパッケージ 2,,,,,,
112017,,한정 찬스 패키지 3,Limited Chance Package 3,有限机会套餐3,機會有限套餐3,限定チャンスパッケージ 3,,,,,,
112018,,한정 찬스 패키지 4,Limited Chance Package 4,有限机会套餐4,機會有限套餐4,限定チャンスパッケージ 4,,,,,,
112019,,오픈 기념 패키지1,Open commemorative package 1,开启纪念套餐1,開啟紀念套餐1,オープン記念パッケージ1,,,,,,
112020,,오픈 기념 패키지2,Open commemorative package 2,开启纪念套餐2,開啟紀念套餐2,オープン記念パッケージ2,,,,,,
112021,,무기에 올인 패키지,All-in package for Weapons,武器包,武器包,武器にオールインパッケージ,,,,,,
